Year Month,Industry,Suspicious Activity,Count
2021,Money Services Business (MSB),Suspicious Receipt of Government Payments/Benefits,"2,066"
2021,Money Services Business (MSB),Suspicious Termination of Policy or Contract,1
2021,Money Services Business (MSB),Suspicious Use of Counter Checks or Markers,3
2021,Money Services Business (MSB),Suspicious Use of Informal Value Transfer System,"114,882"
2021,Money Services Business (MSB),Suspicious Use of Multiple Accounts,"26,145"
2021,Money Services Business (MSB),Suspicious use of multiple transaction locations,"211,453"
2021,Money Services Business (MSB),Suspicious Use of Noncash Monetary Instruments,"3,867"
2021,Money Services Business (MSB),Suspicious Use of Third-Party Transactors (Straw-Man),"5,399"
2021,Money Services Business (MSB),Trade Based Money Laundering/Black Market Peso Exchange,115
2021,Money Services Business (MSB),Transaction Out of Pattern for Customer(s),"37,427"
2021,Money Services Business (MSB),"Transaction with No Apparent Economic, Business, or Lawful Purpose","272,439"
2021,Money Services Business (MSB),Transaction(s) Below BSA Recordkeeping Threshold,"531,167"
2021,Money Services Business (MSB),Transaction(s) Below CTR Threshold,"70,185"
2021,Money Services Business (MSB),Transaction(s) Involving Foreign High Risk Jurisdiction,"8,807"
2021,Money Services Business (MSB),Two or More Individuals Working Together,"205,769"
2021,Money Services Business (MSB),Unknown Source of Chips,9
2021,Money Services Business (MSB),Unlicensed or Unregistered MSB,"66,751"
2021,Money Services Business (MSB),Wash Trading,10
2021,Money Services Business (MSB),Wire,"33,830"
,,,
,,,
,,,
